No.,Location_EN,Location_CN,Name_EN,Name_CN,WGS84 Longitude,WGS84 Latitude,Collection Date,Picture_Asset_Name,type_cn,type_en,desc_cn,desc_en,video_link
1,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China",中国江苏省苏州市昆山市玉山留晖公园,Shuiyunju,水云居,"120.940403,31.392246",,2026-02-08,shuiyunju.jpg,茶室,Teahouse,临水而居。,Living by the water.,
2,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China",中国江苏省苏州市昆山市玉山留晖公园,Momomi Cafe,猫空,"120.940400,31.391511",,2026-02-08,maokong.jpg,咖啡,Café,书店与咖啡。,Bookstore and cafe.,
3,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China",中国江苏省苏州市昆山市玉山留晖公园,Louqu Hall,娄曲堂,"120.940924,31.392028",,2026-02-08,louqu.jpg,戏台,Stage,亭林园中类似戏台的亭子空间，曾用于传统表演与集会活动。,"A pavilion resembling a traditional opera stage, historically used for performances and gatherings.",
4,"Liuhui Park, Yushan, Kunshan, Suzhou, Jiangsu, China",中国江苏省苏州市昆山市玉山留晖公园,Han Hui Pavilion,含晖亭,"120.940962,31.391863",,2026-02-08,hanhui.jpg,亭,Pavilion,取“含光纳晖”之意的观景亭，适合驻足休憩。,"A pavilion named for embracing light and glow, ideal for resting and viewing the surroundings.",
5,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,"Mountains High, Waters Long Bridge",山高水长,"120.942022,31.391168",,2026-02-08,shangaoshuichang.jpg,桥,Bridge,连接亭林园主园与留晖园的重要桥梁，寓意精神绵延不绝。,"A bridge linking the main Tinglin Garden and Liuhui Garden, symbolizing enduring spirit and continuity.",
6,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Yummy Market,好吃集市,"120.941787,31.391557",,2026-02-08,haochi.jpg,市集,Market,园内市集，提供烤串、煎饼、棉花糖等小吃，充满生活气息。,"A lively garden market offering skewers, pancakes, cotton candy, and other snacks.",
7,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Xixiu Pavilion,夕秀轩,"120.941594,31.392739",,2026-02-08,xixiu.jpg,轩,Pavilion,在傍晚光影中尤为秀美的建筑空间。,A pavilion especially beautiful in the soft evening light.,
8,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Lotus Fragrance Pavilion,荷香榭,"120.941540,31.392392",,2026-02-08,hexiang.jpg,水榭,Waterside Pavilion,临水而建，夏季荷花盛开时清香四溢。,A waterside pavilion filled with lotus fragrance in summer.,
9,"Gu Yanwu Memorial Hall, Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Millennium Ginkgo,千年银杏,"120.947115,31.393331",,2026-02-08,ginkgo.jpg,古树,Ancient Tree,这株银杏树历经千年风雨，依然枝繁叶茂。深秋时节，金叶满地，美不胜收。,"Verify weathering a thousand years, this ginkgo tree remains lush. In late autumn, its golden leaves create a breathtaking scene.",
10,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园顾炎武纪念馆,Yufeng Gate,玉峰 门,"120.947234,31.393350",,2026-02-08,yufeng_gate.jpg,大门,Gate,亭林园的主要入口之一，气势恢宏，上方匾额题字苍劲有力。,"One of the main entrances to Tinglin Garden, featuring magnificent architecture and powerful calligraphy on the plaque.",yufeng_gate.jpg
11,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Twin Jade Rhinoceros Pavilions,玉犀双亭,"120.947993,31.394017",,2026-02-08,,亭,Pavilion,成对而立的亭子，因石刻与造型得名。,A pair of pavilions named after jade-like stone features.,
12,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Kun Stone Gallery,昆石馆,"120.948121,31.394680",,2026-02-08,kunstone.jpg,展馆,Gallery,,,kunstone_video.html
13,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Twin Lotus Pond,并蒂莲池,"120.948376,31.394367",,2026-02-08,lotus_pond.jpg,水景,Pond,池中种植着珍稀的并蒂莲，象征着吉祥喜庆，是夏日赏荷的绝佳地点。,"Home to the rare Twin Lotus, symbolizing good fortune and happiness. An excellent spot for viewing lotuses in summer.",
14,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,King of Qionghua,琼花王,"120.948924,31.393330",,2026-02-08,qionghua_king.jpg,古树,Ancient Tree,亭林园著名古树，被誉为“琼花王”。,A famous ancient tree known as the King of Qionghua.,
15,"Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Admonition Stone Stele,戒石碑,"120.948308,31.393075",,2026-02-08,,碑刻,Stele,象征清廉与自省精神的石碑。,A stone stele symbolizing integrity and self-discipline.,
16,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市,Gu Yanwu Memorial Hall,亭林园顾炎武纪念馆,"120.947496,31.393724",,2026-02-08,guyanwu_museum.jpg,博物馆,Museum,纪念明末清初著名思想家顾炎武先生的专题纪念馆。馆内陈列其生平事迹、著作及学术成就，弘扬'天下兴亡，匹夫有责'的爱国主义精神。,"A memorial hall dedicated to Gu Yanwu, a famous scholar of the late Ming and early Qing dynasties. It displays his life story and academic achievements, highlighting his famous quote: 'Everyone is responsible for the rise and fall of the world'.",guyanwu_video.html
17,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Gu Yanwu Statue,顾炎武石像,"120.948087,31.393474",,2026-02-08,guyanwu_statue.jpg,雕塑,Statue,思想家顾炎武的石像，园内精神核心之一。,"A stone statue of Gu Yanwu, representing the spiritual core of the garden.",
18,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Kunqu Opera Museum,昆曲博物馆,"120.947719,31.393031",,2026-02-08,kunqu.jpg,文化,Culture,展示'百戏之祖'昆曲艺术的殿堂。通过戏台、服饰、乐器等展品，全方位呈现昆曲的历史源流与艺术魅力。,"A museum showcasing the art of Kunqu Opera, known as the 'Ancestor of All Dramas'. It presents the history and charm of Kunqu through stages, costumes, and instruments.",kunqu_video.html
19,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Robot Drink Station,机器人饮品站,"120.947228,31.392641",,2026-02-08,robot_drink.jpg,服务,Service,亭林园内的现代科技体验点，机械臂现场制作饮品，将传统园林与现代科技完美融合。,"A modern tech experience spot in Tinglin Garden, where robotic arms prepare drinks on-site, blending traditional gardens with modern technology.",detail_robot.html
20,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Luzhu Courtyard,录竹居,"120.946672,31.392257",,2026-02-08,luzhu_courtyard.jpg,庭院,Courtyard,以竹为主题的静谧庭院空间。,A tranquil courtyard themed around bamboo.,
21,"Tinglin Park, Suzhou, Jiangsu, China",中国江苏省苏州市亭林园,Spring Breeze Pavilion,春风亭,"120.946672,31.392257",,2026-02-08,chunfeng.jpg,亭,Pavilion,春季尤为宜人的观景亭。,A pavilion best enjoyed during springtime breezes.,
